ExperimentName,Subject,Session,Clock.Information,DataFile.Basename,Display.RefreshRate,ExperimentVersion,Group,R1Color[Session],R2Color[Session],R3Color[Session],R4Color[Session],R5Color[Session],R6Color[Session],R7Color[Session],R8Color[Session],R9Color[Session],RandomSeed,RuntimeVersion,SessionDate,SessionStartDateTimeUtc,SessionTime,StudioVersion,Block,DAL,DIA,DIC,DJG,IA_Index,ListQues,ListSess,ListSess.Cycle,ListSess.Sample,other1,other2,other3,other4,other5,other6,other7,other8,other9,otherScore,Procedure,R0Color,R1Color[Block],R2Color[Block],R3Color[Block],R4Color[Block],R5Color[Block],R6Color[Block],R7Color[Block],R8Color[Block],R9Color[Block],RespDur,Running,SlideTarget.ACC,SlideTarget.CRESP,SlideTarget.DurationError,SlideTarget.OnsetDelay,SlideTarget.OnsetTime,SlideTarget.RESP,SlideTarget.RT,SlideTarget.RTTime,SVO_angle,SVO_type,Trialnum,version,you1,you2,you3,you4,you5,you6,you7,you8,you9,yourScore
SVO,23,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-01-06T11:38:04Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3507548</Frequency><Timestamp dt:dt=""r8"">891756245410</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-01-06T11:38:04Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SVO-023-1,60.023,1.0.0.13,1,black,black,black,black,black,black,black,black,black,-1596251312,2.0.10.182,01-06-2020,2020/1/6 11:38,19:38:04,2.0.10.92,1,,,,,,1,1,2,1,85,76,68,59,50,41,33,24,15,,ProcTrial,black,cyan,black,black,black,black,black,black,black,black,-1666,ListSess,0,,-999999,74,50893,1,5166,56059,,,1,1,85,85,85,85,85,85,85,85,85,
SVO,23,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-01-06T11:38:04Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3507548</Frequency><Timestamp dt:dt=""r8"">891756245410</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-01-06T11:38:04Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SVO-023-1,60.023,1.0.0.13,1,black,black,black,black,black,black,black,black,black,-1596251312,2.0.10.182,01-06-2020,2020/1/6 11:38,19:38:04,2.0.10.92,2,,,,,,2,1,2,2,15,19,24,28,33,37,41,46,50,,ProcTrial,,black,black,black,black,black,black,black,black,cyan,-15957,ListSess,0,,-999999,66,59273,9,19457,78730,,,2,1,85,87,89,91,93,94,96,98,100,
SVO,23,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-01-06T11:38:04Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3507548</Frequency><Timestamp dt:dt=""r8"">891756245410</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-01-06T11:38:04Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SVO-023-1,60.023,1.0.0.13,1,black,black,black,black,black,black,black,black,black,-1596251312,2.0.10.182,01-06-2020,2020/1/6 11:38,19:38:04,2.0.10.92,3,,,,,,3,1,2,3,100,98,96,94,93,91,89,87,85,,ProcTrial,,black,black,black,black,black,black,black,black,cyan,77,ListSess,0,,-999999,66,80515,9,3423,83938,,,3,1,50,54,59,63,68,72,76,81,85,
SVO,23,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-01-06T11:38:04Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3507548</Frequency><Timestamp dt:dt=""r8"">891756245410</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-01-06T11:38:04Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SVO-023-1,60.023,1.0.0.13,1,black,black,black,black,black,black,black,black,black,-1596251312,2.0.10.182,01-06-2020,2020/1/6 11:38,19:38:04,2.0.10.92,4,,,,,,4,1,2,4,100,89,79,68,58,47,36,26,15,,ProcTrial,,black,black,cyan,black,black,black,black,black,black,-7791,ListSess,0,,-999999,83,86479,3,11291,97770,,,4,1,50,54,59,63,68,72,76,81,85,
SVO,23,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-01-06T11:38:04Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3507548</Frequency><Timestamp dt:dt=""r8"">891756245410</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-01-06T11:38:04Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SVO-023-1,60.023,1.0.0.13,1,black,black,black,black,black,black,black,black,black,-1596251312,2.0.10.182,01-06-2020,2020/1/6 11:38,19:38:04,2.0.10.92,5,,,,,,5,1,2,5,50,56,63,69,75,81,88,94,100,,ProcTrial,,black,black,cyan,black,black,black,black,black,black,-9290,ListSess,0,,-999999,66,100724,3,12790,113514,,,5,1,100,94,88,81,75,69,63,56,50,
SVO,23,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-01-06T11:38:04Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3507548</Frequency><Timestamp dt:dt=""r8"">891756245410</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-01-06T11:38:04Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SVO-023-1,60.023,1.0.0.13,1,black,black,black,black,black,black,black,black,black,-1596251312,2.0.10.182,01-06-2020,2020/1/6 11:38,19:38:04,2.0.10.92,6,,,,,,6,1,2,6,50,54,59,63,68,72,76,81,85,,ProcTrial,,black,black,black,black,black,black,black,black,cyan,-663,ListSess,0,,-999999,67,115735,9,4163,119898,,,6,1,100,98,96,94,93,91,89,87,85,
SVO,23,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-01-06T11:38:04Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3507548</Frequency><Timestamp dt:dt=""r8"">891756245410</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-01-06T11:38:04Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SVO-023-1,60.023,1.0.0.13,1,black,black,black,black,black,black,black,black,black,-1596251312,2.0.10.182,01-06-2020,2020/1/6 11:38,19:38:04,2.0.10.92,7,,,,,,7,1,2,7,50,56,63,69,75,81,88,94,100,,ProcTrial,,black,black,black,black,black,black,black,cyan,black,-13016,ListSess,0,,-999999,67,120950,8,16516,137466,,,7,2,100,96,93,89,85,81,78,74,70,
SVO,23,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-01-06T11:38:04Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3507548</Frequency><Timestamp dt:dt=""r8"">891756245410</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-01-06T11:38:04Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SVO-023-1,60.023,1.0.0.13,1,black,black,black,black,black,black,black,black,black,-1596251312,2.0.10.182,01-06-2020,2020/1/6 11:38,19:38:04,2.0.10.92,8,,,,,,8,1,2,8,100,99,98,96,95,94,93,91,90,,ProcTrial,,black,black,black,black,cyan,black,black,black,black,-4511,ListSess,0,,-999999,50,138543,5,8011,146554,,,8,2,90,91,93,94,95,96,98,99,100,
SVO,23,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-01-06T11:38:04Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3507548</Frequency><Timestamp dt:dt=""r8"">891756245410</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-01-06T11:38:04Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SVO-023-1,60.023,1.0.0.13,1,black,black,black,black,black,black,black,black,black,-1596251312,2.0.10.182,01-06-2020,2020/1/6 11:38,19:38:04,2.0.10.92,9,,,,,,9,1,2,9,70,74,78,81,85,89,93,96,100,,ProcTrial,,black,cyan,black,black,black,black,black,black,black,-11507,ListSess,0,,-999999,67,147706,2,15007,162713,,,9,2,100,94,88,81,75,69,63,56,50,
SVO,23,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-01-06T11:38:04Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3507548</Frequency><Timestamp dt:dt=""r8"">891756245410</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-01-06T11:38:04Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SVO-023-1,60.023,1.0.0.13,1,black,black,black,black,black,black,black,black,black,-1596251312,2.0.10.182,01-06-2020,2020/1/6 11:38,19:38:04,2.0.10.92,10,,,,,,10,1,2,10,70,74,78,81,85,89,93,96,100,,ProcTrial,,black,black,black,black,black,black,black,black,cyan,-3983,ListSess,0,,-999999,67,163950,9,7483,171433,,,10,2,100,99,98,96,95,94,93,91,90,
