ExperimentName,Subject,Session,Clock.Information,DataFile.Basename,Display.RefreshRate,ExperimentVersion,Group,R1Color,R2Color,R3Color,R4Color,R5Color,R6Color,R7Color,R8Color,R9Color,RandomSeed,RuntimeVersion,SessionDate,SessionStartDateTimeUtc,SessionTime,StudioVersion,Block,choice,DAL,DIA,DIC,DJG,IA_Index,ListQues,ListSess,ListSess.Cycle,ListSess.Sample,other1,other2,other3,other4,other5,other6,other7,other8,other9,otherScore,Procedure,Running,SVO_angle,SVO_type,Trialnum,version,you1,you2,you3,you4,you5,you6,you7,you8,you9,yourScore
SVO Backup1,1,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-01-08T13:24:50Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">998831932159</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-01-08T13:24:50Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SVO Backup1-1-1,60,1.0.0.1,1,black,black,black,black,black,black,black,black,black,-1894697791,2.0.10.182,01-08-2020,2020/1/8 13:24,21:24:50,2.0.10.92,1,1,,,,,,1,1,2,1,85,76,68,59,50,41,33,24,15,,ProcTrial,ListSess,,,1,1,85,85,85,85,85,85,85,85,85,
SVO Backup1,1,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-01-08T13:24:50Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">998831932159</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-01-08T13:24:50Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SVO Backup1-1-1,60,1.0.0.1,1,black,black,black,black,black,black,black,black,black,-1894697791,2.0.10.182,01-08-2020,2020/1/8 13:24,21:24:50,2.0.10.92,2,9,,,,,,2,1,2,2,15,19,24,28,33,37,41,46,50,,ProcTrial,ListSess,,,2,1,85,87,89,91,93,94,96,98,100,
SVO Backup1,1,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-01-08T13:24:50Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">998831932159</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-01-08T13:24:50Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SVO Backup1-1-1,60,1.0.0.1,1,black,black,black,black,black,black,black,black,black,-1894697791,2.0.10.182,01-08-2020,2020/1/8 13:24,21:24:50,2.0.10.92,3,9,,,,,,3,1,2,3,100,98,96,94,93,91,89,87,85,,ProcTrial,ListSess,,,3,1,50,54,59,63,68,72,76,81,85,
SVO Backup1,1,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-01-08T13:24:50Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">998831932159</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-01-08T13:24:50Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SVO Backup1-1-1,60,1.0.0.1,1,black,black,black,black,black,black,black,black,black,-1894697791,2.0.10.182,01-08-2020,2020/1/8 13:24,21:24:50,2.0.10.92,4,9,,,,,,4,1,2,4,100,89,79,68,58,47,36,26,15,,ProcTrial,ListSess,,,4,1,50,54,59,63,68,72,76,81,85,
SVO Backup1,1,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-01-08T13:24:50Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">998831932159</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-01-08T13:24:50Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SVO Backup1-1-1,60,1.0.0.1,1,black,black,black,black,black,black,black,black,black,-1894697791,2.0.10.182,01-08-2020,2020/1/8 13:24,21:24:50,2.0.10.92,5,1,,,,,,5,1,2,5,50,56,63,69,75,81,88,94,100,,ProcTrial,ListSess,,,5,1,100,94,88,81,75,69,63,56,50,
SVO Backup1,1,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-01-08T13:24:50Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">998831932159</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-01-08T13:24:50Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SVO Backup1-1-1,60,1.0.0.1,1,black,black,black,black,black,black,black,black,black,-1894697791,2.0.10.182,01-08-2020,2020/1/8 13:24,21:24:50,2.0.10.92,6,1,,,,,,6,1,2,6,50,54,59,63,68,72,76,81,85,,ProcTrial,ListSess,,,6,1,100,98,96,94,93,91,89,87,85,
SVO Backup1,1,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-01-08T13:24:50Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">998831932159</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-01-08T13:24:50Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SVO Backup1-1-1,60,1.0.0.1,1,black,black,black,black,black,black,black,black,black,-1894697791,2.0.10.182,01-08-2020,2020/1/8 13:24,21:24:50,2.0.10.92,7,1,,,,,,7,1,2,7,50,56,63,69,75,81,88,94,100,,ProcTrial,ListSess,,,7,2,100,96,93,89,85,81,78,74,70,
SVO Backup1,1,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-01-08T13:24:50Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">998831932159</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-01-08T13:24:50Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SVO Backup1-1-1,60,1.0.0.1,1,black,black,black,black,black,black,black,black,black,-1894697791,2.0.10.182,01-08-2020,2020/1/8 13:24,21:24:50,2.0.10.92,8,9,,,,,,8,1,2,8,100,99,98,96,95,94,93,91,90,,ProcTrial,ListSess,,,8,2,90,91,93,94,95,96,98,99,100,
SVO Backup1,1,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-01-08T13:24:50Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">998831932159</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-01-08T13:24:50Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SVO Backup1-1-1,60,1.0.0.1,1,black,black,black,black,black,black,black,black,black,-1894697791,2.0.10.182,01-08-2020,2020/1/8 13:24,21:24:50,2.0.10.92,9,1,,,,,,9,1,2,9,70,74,78,81,85,89,93,96,100,,ProcTrial,ListSess,,,9,2,100,94,88,81,75,69,63,56,50,
SVO Backup1,1,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-01-08T13:24:50Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">998831932159</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-01-08T13:24:50Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SVO Backup1-1-1,60,1.0.0.1,1,black,black,black,black,black,black,black,black,black,-1894697791,2.0.10.182,01-08-2020,2020/1/8 13:24,21:24:50,2.0.10.92,10,1,,,,,,10,1,2,10,70,74,78,81,85,89,93,96,100,,ProcTrial,ListSess,,,10,2,100,99,98,96,95,94,93,91,90,
