ExperimentName,Subject,Session,Clock.Information,DataFile.Basename,Display.RefreshRate,ExperimentVersion,Group,R1Color[Session],R2Color[Session],R3Color[Session],R4Color[Session],R5Color[Session],R6Color[Session],R7Color[Session],R8Color[Session],R9Color[Session],RandomSeed,RuntimeVersion,SessionDate,SessionStartDateTimeUtc,SessionTime,StudioVersion,Block,DAL,DIA,DIC,DJG,IA_Index,ListQues,ListSess,ListSess.Cycle,ListSess.Sample,other1,other2,other3,other4,other5,other6,other7,other8,other9,otherScore,Procedure,R0Color,R1Color[Block],R2Color[Block],R3Color[Block],R4Color[Block],R5Color[Block],R6Color[Block],R7Color[Block],R8Color[Block],R9Color[Block],RespDur,Running,SlideFB.ACC,SlideFB.CRESP,SlideFB.DurationError,SlideFB.OnsetDelay,SlideFB.OnsetTime,SlideFB.RESP,SlideFB.RT,SlideFB.RTTime,SlideTarget.ACC,SlideTarget.CRESP,SlideTarget.DurationError,SlideTarget.OnsetDelay,SlideTarget.OnsetTime,SlideTarget.RESP,SlideTarget.RT,SlideTarget.RTTime,SVO_angle,SVO_type,Trialnum,version,you1,you2,you3,you4,you5,you6,you7,you8,you9,yourScore
SVO,1231,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-06-25T09:20:59Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312714</Frequency><Timestamp dt:dt=""r8"">17564397125</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-06-25T09:20:59Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SVO-001231-1,59.893,1.0.0.130,1,black,black,black,black,black,black,black,black,black,385152912,2.0.10.182,06-25-2021,2021/6/25 9:20,17:20:59,2.0.10.92,1,,,,,,1,1,2,1,85,76,68,59,50,41,33,24,15,,ProcTrial,,cyan,black,black,black,black,black,black,black,black,-22312,ListSess,0,,-999999,117,46728,{SPACE},5665,52393,0,,-999999,134,20798,1,25812,46610,,,1,1,85,85,85,85,85,85,85,85,85,
SVO,1231,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-06-25T09:20:59Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312714</Frequency><Timestamp dt:dt=""r8"">17564397125</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-06-25T09:20:59Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SVO-001231-1,59.893,1.0.0.130,1,black,black,black,black,black,black,black,black,black,385152912,2.0.10.182,06-25-2021,2021/6/25 9:20,17:20:59,2.0.10.92,2,,,,,,2,1,2,2,15,19,24,28,33,37,41,46,50,,ProcTrial,,black,black,black,black,black,black,black,black,cyan,-6271,ListSess,0,,-999999,96,62873,{SPACE},2173,65046,0,,-999999,101,53006,9,9771,62777,,,2,1,85,87,89,91,93,94,96,98,100,
SVO,1231,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-06-25T09:20:59Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312714</Frequency><Timestamp dt:dt=""r8"">17564397125</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-06-25T09:20:59Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SVO-001231-1,59.893,1.0.0.130,1,black,black,black,black,black,black,black,black,black,385152912,2.0.10.182,06-25-2021,2021/6/25 9:20,17:20:59,2.0.10.92,3,,,,,,3,1,2,3,100,98,96,94,93,91,89,87,85,,ProcTrial,,black,black,black,black,black,black,black,black,cyan,-9884,ListSess,0,,-999999,107,79153,{SPACE},2754,81907,0,,-999999,101,65662,9,13384,79046,,,3,1,50,54,59,63,68,72,76,81,85,
SVO,1231,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-06-25T09:20:59Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312714</Frequency><Timestamp dt:dt=""r8"">17564397125</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-06-25T09:20:59Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SVO-001231-1,59.893,1.0.0.130,1,black,black,black,black,black,black,black,black,black,385152912,2.0.10.182,06-25-2021,2021/6/25 9:20,17:20:59,2.0.10.92,4,,,,,,4,1,2,4,100,89,79,68,58,47,36,26,15,,ProcTrial,,cyan,black,black,black,black,black,black,black,black,-2852,ListSess,0,,-999999,109,88987,{SPACE},1167,90154,0,,-999999,101,82525,1,6352,88877,,,4,1,50,54,59,63,68,72,76,81,85,
SVO,1231,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-06-25T09:20:59Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312714</Frequency><Timestamp dt:dt=""r8"">17564397125</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-06-25T09:20:59Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SVO-001231-1,59.893,1.0.0.130,1,black,black,black,black,black,black,black,black,black,385152912,2.0.10.182,06-25-2021,2021/6/25 9:20,17:20:59,2.0.10.92,5,,,,,,5,1,2,5,50,56,63,69,75,81,88,94,100,,ProcTrial,,black,black,black,black,black,black,cyan,black,black,-6632,ListSess,0,,-999999,118,101008,{SPACE},927,101935,0,,-999999,85,90757,7,10132,100889,,,5,1,100,94,88,81,75,69,63,56,50,
SVO,1231,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-06-25T09:20:59Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312714</Frequency><Timestamp dt:dt=""r8"">17564397125</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-06-25T09:20:59Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SVO-001231-1,59.893,1.0.0.130,1,black,black,black,black,black,black,black,black,black,385152912,2.0.10.182,06-25-2021,2021/6/25 9:20,17:20:59,2.0.10.92,6,,,,,,6,1,2,6,50,54,59,63,68,72,76,81,85,,ProcTrial,,black,black,black,black,black,black,cyan,black,black,701,ListSess,0,,-999999,106,105466,{SPACE},415,105881,0,,-999999,101,102561,7,2799,105360,,,6,1,100,98,96,94,93,91,89,87,85,
SVO,1231,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-06-25T09:20:59Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312714</Frequency><Timestamp dt:dt=""r8"">17564397125</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-06-25T09:20:59Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SVO-001231-1,59.893,1.0.0.130,1,black,black,black,black,black,black,black,black,black,385152912,2.0.10.182,06-25-2021,2021/6/25 9:20,17:20:59,2.0.10.92,7,,,,,,7,1,2,7,50,56,63,69,75,81,88,94,100,,ProcTrial,,black,black,cyan,black,black,black,black,black,black,2038,ListSess,0,,-999999,107,108071,{SPACE},1643,109714,0,,-999999,102,106502,3,1462,107964,,,7,2,100,96,93,89,85,81,78,74,70,
SVO,1231,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-06-25T09:20:59Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312714</Frequency><Timestamp dt:dt=""r8"">17564397125</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-06-25T09:20:59Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SVO-001231-1,59.893,1.0.0.130,1,black,black,black,black,black,black,black,black,black,385152912,2.0.10.182,06-25-2021,2021/6/25 9:20,17:20:59,2.0.10.92,8,,,,,,8,1,2,8,100,99,98,96,95,94,93,91,90,,ProcTrial,,cyan,black,black,black,black,black,black,black,black,554,ListSess,0,,-999999,110,113364,{SPACE},551,113915,0,,-999999,83,110308,1,2946,113254,,,8,2,90,91,93,94,95,96,98,99,100,
SVO,1231,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-06-25T09:20:59Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312714</Frequency><Timestamp dt:dt=""r8"">17564397125</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-06-25T09:20:59Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SVO-001231-1,59.893,1.0.0.130,1,black,black,black,black,black,black,black,black,black,385152912,2.0.10.182,06-25-2021,2021/6/25 9:20,17:20:59,2.0.10.92,9,,,,,,9,1,2,9,70,74,78,81,85,89,93,96,100,,ProcTrial,,black,black,black,black,black,black,black,black,cyan,-2449,ListSess,0,,-999999,110,120593,{SPACE},547,121140,0,,-999999,101,114533,9,5949,120482,,,9,2,100,94,88,81,75,69,63,56,50,
SVO,1231,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-06-25T09:20:59Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312714</Frequency><Timestamp dt:dt=""r8"">17564397125</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-06-25T09:20:59Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SVO-001231-1,59.893,1.0.0.130,1,black,black,black,black,black,black,black,black,black,385152912,2.0.10.182,06-25-2021,2021/6/25 9:20,17:20:59,2.0.10.92,10,,,,,,10,1,2,10,70,74,78,81,85,89,93,96,100,,ProcTrial,,black,black,black,black,black,black,cyan,black,black,2111,ListSess,0,,-999999,112,123248,{SPACE},1244,124492,0,,-999999,85,121746,7,1389,123135,,,10,2,100,99,98,96,95,94,93,91,90,
