subjID,SessionDate,accept,offer,Wait2.RT,targettext,gender,age,trail,context,cohort
A1,01-04-2020,1,4.0,1526.0,2.0,F,24.44383562,1,gain,adult
A1,01-04-2020,0,2.0,10640.0,3.0,F,24.44383562,2,gain,adult
A1,01-04-2020,1,3.0,1131.0,3.0,F,24.44383562,3,gain,adult
A1,01-04-2020,0,1.0,721.0,1.0,F,24.44383562,4,gain,adult
A1,01-04-2020,1,5.0,944.0,4.0,F,24.44383562,5,gain,adult
A1,01-04-2020,0,3.0,1335.0,2.0,F,24.44383562,6,gain,adult
A1,01-04-2020,1,1.0,1849.0,1.0,F,24.44383562,7,gain,adult
A1,01-04-2020,1,2.0,1054.0,1.0,F,24.44383562,8,gain,adult
A1,01-04-2020,1,5.0,1453.0,5.0,F,24.44383562,9,gain,adult
A1,01-04-2020,1,4.0,806.0,4.0,F,24.44383562,10,gain,adult
A1,01-04-2020,0,1.0,1068.0,4.0,F,24.44383562,11,gain,adult
A1,01-04-2020,1,3.0,791.0,2.0,F,24.44383562,12,gain,adult
A1,01-04-2020,1,4.0,685.0,4.0,F,24.44383562,13,gain,adult
A1,01-04-2020,1,2.0,1657.0,1.0,F,24.44383562,14,gain,adult
A1,01-04-2020,1,5.0,713.0,5.0,F,24.44383562,15,gain,adult
A1,01-04-2020,1,4.0,571.0,4.0,F,24.44383562,16,gain,adult
A1,01-04-2020,0,1.0,1854.0,5.0,F,24.44383562,17,gain,adult
A1,01-04-2020,1,2.0,5501.0,1.0,F,24.44383562,18,gain,adult
A1,01-04-2020,1,3.0,421.0,2.0,F,24.44383562,19,gain,adult
A1,01-04-2020,1,5.0,704.0,4.0,F,24.44383562,20,gain,adult
A1,01-04-2020,1,4.0,784.0,3.0,F,24.44383562,21,gain,adult
A1,01-04-2020,1,3.0,808.0,2.0,F,24.44383562,22,gain,adult
A1,01-04-2020,1,5.0,513.0,3.0,F,24.44383562,23,gain,adult
A1,01-04-2020,0,1.0,757.0,5.0,F,24.44383562,24,gain,adult
A1,01-04-2020,1,2.0,998.0,1.0,F,24.44383562,25,gain,adult
A1,01-04-2020,0,1.0,1122.0,4.0,F,24.44383562,26,gain,adult
A1,01-04-2020,1,2.0,681.0,2.0,F,24.44383562,27,gain,adult
A1,01-04-2020,1,3.0,4003.0,2.0,F,24.44383562,28,gain,adult
A1,01-04-2020,1,5.0,327.0,5.0,F,24.44383562,29,gain,adult
A1,01-04-2020,1,4.0,464.0,2.0,F,24.44383562,30,gain,adult
A1,01-04-2020,1,2.0,1551.0,2.0,F,24.44383562,31,gain,adult
A1,01-04-2020,0,1.0,616.0,4.0,F,24.44383562,32,gain,adult
A1,01-04-2020,1,3.0,444.0,3.0,F,24.44383562,33,gain,adult
A1,01-04-2020,1,4.0,522.0,2.0,F,24.44383562,34,gain,adult
A1,01-04-2020,1,5.0,291.0,4.0,F,24.44383562,35,gain,adult
A1,01-04-2020,1,5.0,868.0,5.0,F,24.44383562,36,gain,adult
A1,01-04-2020,1,3.0,2471.0,1.0,F,24.44383562,37,gain,adult
A1,01-04-2020,0,1.0,837.0,2.0,F,24.44383562,38,gain,adult
A1,01-04-2020,1,2.0,967.0,2.0,F,24.44383562,39,gain,adult
A1,01-04-2020,1,4.0,759.0,1.0,F,24.44383562,40,gain,adult
A2,01-04-2020,1,5.0,2378.0,5.0,F,23.82739726,1,gain,adult
A2,01-04-2020,1,3.0,5241.0,3.0,F,23.82739726,2,gain,adult
A2,01-04-2020,1,4.0,1294.0,3.0,F,23.82739726,3,gain,adult
A2,01-04-2020,0,1.0,2356.0,2.0,F,23.82739726,4,gain,adult
A2,01-04-2020,0,2.0,992.0,2.0,F,23.82739726,5,gain,adult
A2,01-04-2020,0,1.0,781.0,2.0,F,23.82739726,6,gain,adult
A2,01-04-2020,1,3.0,1158.0,4.0,F,23.82739726,7,gain,adult
A2,01-04-2020,0,4.0,5229.0,2.0,F,23.82739726,8,gain,adult
A2,01-04-2020,0,2.0,854.0,2.0,F,23.82739726,9,gain,adult
A2,01-04-2020,1,5.0,814.0,5.0,F,23.82739726,10,gain,adult
A2,01-04-2020,0,1.0,896.0,1.0,F,23.82739726,11,gain,adult
A2,01-04-2020,1,5.0,584.0,5.0,F,23.82739726,12,gain,adult
A2,01-04-2020,1,3.0,1964.0,3.0,F,23.82739726,13,gain,adult
A2,01-04-2020,0,2.0,1060.0,2.0,F,23.82739726,14,gain,adult
A2,01-04-2020,1,4.0,3156.0,3.0,F,23.82739726,15,gain,adult
A2,01-04-2020,0,1.0,713.0,2.0,F,23.82739726,16,gain,adult
A2,01-04-2020,1,5.0,490.0,5.0,F,23.82739726,17,gain,adult
A2,01-04-2020,0,2.0,4196.0,2.0,F,23.82739726,18,gain,adult
A2,01-04-2020,1,4.0,3516.0,3.0,F,23.82739726,19,gain,adult
A2,01-04-2020,1,3.0,1853.0,2.0,F,23.82739726,20,gain,adult
A2,01-04-2020,0,1.0,781.0,2.0,F,23.82739726,21,gain,adult
A2,01-04-2020,1,4.0,1223.0,3.0,F,23.82739726,22,gain,adult
A2,01-04-2020,1,5.0,554.0,3.0,F,23.82739726,23,gain,adult
A2,01-04-2020,1,3.0,3699.0,3.0,F,23.82739726,24,gain,adult
A2,01-04-2020,0,2.0,719.0,2.0,F,23.82739726,25,gain,adult
A2,01-04-2020,1,3.0,1241.0,3.0,F,23.82739726,26,gain,adult
A2,01-04-2020,1,5.0,654.0,5.0,F,23.82739726,27,gain,adult
A2,01-04-2020,1,4.0,946.0,3.0,F,23.82739726,28,gain,adult
