ExperimentName,Subject,SessionDate,choose,receivor,Wait2.RT,targettext,trail,sub,wave
part1_UG_gain_f_red_F,213,07-21-2021,拒绝,1.0,3205.0,5.0,1,sub-213,wave1
part1_UG_gain_f_red_F,213,07-21-2021,接受,3.0,10492.0,3.0,2,sub-213,wave1
part1_UG_gain_f_red_F,213,07-21-2021,接受,5.0,1921.0,5.0,3,sub-213,wave1
part1_UG_gain_f_red_F,213,07-21-2021,拒绝,2.0,3660.0,2.0,4,sub-213,wave1
part1_UG_gain_f_red_F,213,07-21-2021,拒绝,4.0,3137.0,4.0,5,sub-213,wave1
part1_UG_gain_f_red_F,213,07-21-2021,拒绝,2.0,1858.0,3.0,6,sub-213,wave1
part1_UG_gain_f_red_F,213,07-21-2021,拒绝,1.0,1380.0,3.0,7,sub-213,wave1
part1_UG_gain_f_red_F,213,07-21-2021,拒绝,3.0,722.0,3.0,8,sub-213,wave1
part1_UG_gain_f_red_F,213,07-21-2021,接受,4.0,2108.0,2.0,9,sub-213,wave1
part1_UG_gain_f_red_F,213,07-21-2021,接受,5.0,1701.0,3.0,10,sub-213,wave1
part1_UG_gain_f_red_F,213,07-21-2021,拒绝,1.0,1510.0,3.0,11,sub-213,wave1
part1_UG_gain_f_red_F,213,07-21-2021,拒绝,2.0,2142.0,3.0,12,sub-213,wave1
part1_UG_gain_f_red_F,213,07-21-2021,接受,5.0,1149.0,3.0,13,sub-213,wave1
part1_UG_gain_f_red_F,213,07-21-2021,接受,4.0,765.0,3.0,14,sub-213,wave1
part1_UG_gain_f_red_F,213,07-21-2021,接受,3.0,255.0,3.0,15,sub-213,wave1
part1_UG_gain_f_red_F,213,07-21-2021,接受,5.0,47.0,5.0,16,sub-213,wave1
part1_UG_gain_f_red_F,213,07-21-2021,接受,4.0,251.0,3.0,17,sub-213,wave1
part1_UG_gain_f_red_F,213,07-21-2021,接受,3.0,371.0,3.0,18,sub-213,wave1
part1_UG_gain_f_red_F,213,07-21-2021,接受,2.0,510.0,3.0,19,sub-213,wave1
part1_UG_gain_f_red_F,213,07-21-2021,拒绝,1.0,2059.0,3.0,20,sub-213,wave1
part1_UG_gain_f_red_F,213,07-21-2021,拒绝,1.0,1759.0,5.0,21,sub-213,wave1
part1_UG_gain_f_red_F,213,07-21-2021,接受,3.0,868.0,3.0,22,sub-213,wave1
part1_UG_gain_f_red_F,213,07-21-2021,接受,4.0,96.0,3.0,23,sub-213,wave1
part1_UG_gain_f_red_F,213,07-21-2021,接受,5.0,830.0,5.0,24,sub-213,wave1
part1_UG_gain_f_red_F,213,07-21-2021,接受,2.0,587.0,2.0,25,sub-213,wave1
part1_UG_gain_f_red_F,213,07-21-2021,接受,3.0,478.0,3.0,26,sub-213,wave1
part1_UG_gain_f_red_F,213,07-21-2021,接受,1.0,748.0,3.0,27,sub-213,wave1
part1_UG_gain_f_red_F,213,07-21-2021,接受,5.0,680.0,3.0,28,sub-213,wave1
part1_UG_gain_f_red_F,213,07-21-2021,接受,2.0,755.0,3.0,29,sub-213,wave1
part1_UG_gain_f_red_F,213,07-21-2021,拒绝,4.0,2954.0,4.0,30,sub-213,wave1
part1_UG_gain_f_red_F,213,07-21-2021,接受,3.0,5841.0,3.0,31,sub-213,wave1
part1_UG_gain_f_red_F,213,07-21-2021,接受,5.0,172.0,3.0,32,sub-213,wave1
part1_UG_gain_f_red_F,213,07-21-2021,接受,2.0,424.0,3.0,33,sub-213,wave1
part1_UG_gain_f_red_F,213,07-21-2021,接受,4.0,299.0,3.0,34,sub-213,wave1
part1_UG_gain_f_red_F,213,07-21-2021,接受,1.0,1026.0,3.0,35,sub-213,wave1
part1_UG_gain_f_red_F,213,07-21-2021,接受,1.0,222.0,3.0,36,sub-213,wave1
part1_UG_gain_f_red_F,213,07-21-2021,接受,5.0,97.0,4.0,37,sub-213,wave1
part1_UG_gain_f_red_F,213,07-21-2021,接受,4.0,302.0,3.0,38,sub-213,wave1
part1_UG_gain_f_red_F,213,07-21-2021,接受,2.0,376.0,3.0,39,sub-213,wave1
part1_UG_gain_f_red_F,213,07-21-2021,接受,3.0,119.0,3.0,40,sub-213,wave1
part2_UG_loss_f_red_F,213,07-21-2021,接受,-5.0,1166.0,3.0,1,sub-213,wave1
part2_UG_loss_f_red_F,213,07-21-2021,拒绝,-6.0,5455.0,4.0,2,sub-213,wave1
part2_UG_loss_f_red_F,213,07-21-2021,拒绝,-7.0,2677.0,3.0,3,sub-213,wave1
part2_UG_loss_f_red_F,213,07-21-2021,拒绝,-9.0,1080.0,3.0,4,sub-213,wave1
part2_UG_loss_f_red_F,213,07-21-2021,拒绝,-8.0,731.0,3.0,5,sub-213,wave1
part2_UG_loss_f_red_F,213,07-21-2021,拒绝,-8.0,924.0,3.0,6,sub-213,wave1
part2_UG_loss_f_red_F,213,07-21-2021,拒绝,-7.0,487.0,3.0,7,sub-213,wave1
part2_UG_loss_f_red_F,213,07-21-2021,拒绝,-9.0,615.0,3.0,8,sub-213,wave1
part2_UG_loss_f_red_F,213,07-21-2021,接受,-5.0,736.0,3.0,9,sub-213,wave1
part2_UG_loss_f_red_F,213,07-21-2021,接受,-6.0,1293.0,3.0,10,sub-213,wave1
part2_UG_loss_f_red_F,213,07-21-2021,拒绝,-8.0,725.0,3.0,11,sub-213,wave1
part2_UG_loss_f_red_F,213,07-21-2021,接受,-7.0,444.0,3.0,12,sub-213,wave1
part2_UG_loss_f_red_F,213,07-21-2021,接受,-5.0,270.0,3.0,13,sub-213,wave1
part2_UG_loss_f_red_F,213,07-21-2021,接受,-6.0,469.0,3.0,14,sub-213,wave1
part2_UG_loss_f_red_F,213,07-21-2021,接受,-9.0,446.0,3.0,15,sub-213,wave1
part2_UG_loss_f_red_F,213,07-21-2021,接受,-5.0,601.0,3.0,16,sub-213,wave1
part2_UG_loss_f_red_F,213,07-21-2021,接受,-9.0,531.0,3.0,17,sub-213,wave1
part2_UG_loss_f_red_F,213,07-21-2021,接受,-8.0,219.0,3.0,18,sub-213,wave1
part2_UG_loss_f_red_F,213,07-21-2021,拒绝,-6.0,205.0,3.0,19,sub-213,wave1
part2_UG_loss_f_red_F,213,07-21-2021,接受,-7.0,188.0,3.0,20,sub-213,wave1
part2_UG_loss_f_red_F,213,07-21-2021,接受,-5.0,1144.0,3.0,21,sub-213,wave1
part2_UG_loss_f_red_F,213,07-21-2021,接受,-9.0,330.0,3.0,22,sub-213,wave1
part2_UG_loss_f_red_F,213,07-21-2021,接受,-6.0,281.0,3.0,23,sub-213,wave1
part2_UG_loss_f_red_F,213,07-21-2021,接受,-7.0,163.0,3.0,24,sub-213,wave1
part2_UG_loss_f_red_F,213,07-21-2021,拒绝,-8.0,1149.0,3.0,25,sub-213,wave1
part2_UG_loss_f_red_F,213,07-21-2021,拒绝,-6.0,2833.0,3.0,26,sub-213,wave1
part2_UG_loss_f_red_F,213,07-21-2021,接受,-5.0,1475.0,3.0,27,sub-213,wave1
part2_UG_loss_f_red_F,213,07-21-2021,接受,-7.0,287.0,3.0,28,sub-213,wave1
part2_UG_loss_f_red_F,213,07-21-2021,拒绝,-9.0,970.0,3.0,29,sub-213,wave1
part2_UG_loss_f_red_F,213,07-21-2021,拒绝,-8.0,1127.0,3.0,30,sub-213,wave1
part2_UG_loss_f_red_F,213,07-21-2021,拒绝,-6.0,453.0,3.0,31,sub-213,wave1
part2_UG_loss_f_red_F,213,07-21-2021,接受,-5.0,838.0,3.0,32,sub-213,wave1
part2_UG_loss_f_red_F,213,07-21-2021,接受,-7.0,1359.0,3.0,33,sub-213,wave1
part2_UG_loss_f_red_F,213,07-21-2021,接受,-8.0,402.0,3.0,34,sub-213,wave1
part2_UG_loss_f_red_F,213,07-21-2021,拒绝,-9.0,930.0,3.0,35,sub-213,wave1
part2_UG_loss_f_red_F,213,07-21-2021,拒绝,-6.0,207.0,3.0,36,sub-213,wave1
part2_UG_loss_f_red_F,213,07-21-2021,拒绝,-7.0,97.0,3.0,37,sub-213,wave1
part2_UG_loss_f_red_F,213,07-21-2021,接受,-5.0,928.0,3.0,38,sub-213,wave1
part2_UG_loss_f_red_F,213,07-21-2021,拒绝,-8.0,993.0,3.0,39,sub-213,wave1
part2_UG_loss_f_red_F,213,07-21-2021,拒绝,-9.0,290.0,3.0,40,sub-213,wave1
part1_UG_loss_j_gray_J,222,08-19-2021,拒绝,-9.0,33475.0,1.0,1,sub-222,wave1
part1_UG_loss_j_gray_J,222,08-19-2021,拒绝,-7.0,23493.0,1.0,2,sub-222,wave1
part1_UG_loss_j_gray_J,222,08-19-2021,拒绝,-6.0,10060.0,3.0,3,sub-222,wave1
part1_UG_loss_j_gray_J,222,08-19-2021,拒绝,-8.0,17370.0,3.0,4,sub-222,wave1
part1_UG_loss_j_gray_J,222,08-19-2021,接受,-5.0,8289.0,3.0,5,sub-222,wave1
part1_UG_loss_j_gray_J,222,08-19-2021,接受,-5.0,4348.0,3.0,6,sub-222,wave1
part1_UG_loss_j_gray_J,222,08-19-2021,拒绝,-9.0,8119.0,3.0,7,sub-222,wave1
part1_UG_loss_j_gray_J,222,08-19-2021,拒绝,-7.0,2357.0,4.0,8,sub-222,wave1
part1_UG_loss_j_gray_J,222,08-19-2021,拒绝,-8.0,1754.0,3.0,9,sub-222,wave1
part1_UG_loss_j_gray_J,222,08-19-2021,拒绝,-6.0,2560.0,3.0,10,sub-222,wave1
part1_UG_loss_j_gray_J,222,08-19-2021,拒绝,-6.0,1792.0,3.0,11,sub-222,wave1
part1_UG_loss_j_gray_J,222,08-19-2021,接受,-5.0,1741.0,3.0,12,sub-222,wave1
part1_UG_loss_j_gray_J,222,08-19-2021,拒绝,-8.0,1392.0,3.0,13,sub-222,wave1
part1_UG_loss_j_gray_J,222,08-19-2021,拒绝,-7.0,13045.0,1.0,14,sub-222,wave1
part1_UG_loss_j_gray_J,222,08-19-2021,拒绝,-9.0,2549.0,3.0,15,sub-222,wave1
part1_UG_loss_j_gray_J,222,08-19-2021,拒绝,-8.0,1622.0,1.0,16,sub-222,wave1
part1_UG_loss_j_gray_J,222,08-19-2021,拒绝,-9.0,2744.0,2.0,17,sub-222,wave1
part1_UG_loss_j_gray_J,222,08-19-2021,接受,-5.0,3323.0,3.0,18,sub-222,wave1
part1_UG_loss_j_gray_J,222,08-19-2021,拒绝,-6.0,2093.0,2.0,19,sub-222,wave1
