ExperimentName	subjID	SessionDate	accept	offer	accept	Wait2.RT	targettext	trail
part1_UG_gain_f_red	1	01-04-2020	1	4.0	1	1526.0	2.0	1
part1_UG_gain_f_red	1	01-04-2020	0	2.0	0	10640.0	3.0	2
part1_UG_gain_f_red	1	01-04-2020	1	3.0	1	1131.0	3.0	3
part1_UG_gain_f_red	1	01-04-2020	0	1.0	0	721.0	1.0	4
part1_UG_gain_f_red	1	01-04-2020	1	5.0	1	944.0	4.0	5
part1_UG_gain_f_red	1	01-04-2020	0	3.0	0	1335.0	2.0	6
part1_UG_gain_f_red	1	01-04-2020	1	1.0	1	1849.0	1.0	7
part1_UG_gain_f_red	1	01-04-2020	1	2.0	1	1054.0	1.0	8
part1_UG_gain_f_red	1	01-04-2020	1	5.0	1	1453.0	5.0	9
part1_UG_gain_f_red	1	01-04-2020	1	4.0	1	806.0	4.0	10
part1_UG_gain_f_red	1	01-04-2020	0	1.0	0	1068.0	4.0	11
part1_UG_gain_f_red	1	01-04-2020	1	3.0	1	791.0	2.0	12
part1_UG_gain_f_red	1	01-04-2020	1	4.0	1	685.0	4.0	13
part1_UG_gain_f_red	1	01-04-2020	1	2.0	1	1657.0	1.0	14
part1_UG_gain_f_red	1	01-04-2020	1	5.0	1	713.0	5.0	15
part1_UG_gain_f_red	1	01-04-2020	1	4.0	1	571.0	4.0	16
part1_UG_gain_f_red	1	01-04-2020	0	1.0	0	1854.0	5.0	17
part1_UG_gain_f_red	1	01-04-2020	1	2.0	1	5501.0	1.0	18
part1_UG_gain_f_red	1	01-04-2020	1	3.0	1	421.0	2.0	19
part1_UG_gain_f_red	1	01-04-2020	1	5.0	1	704.0	4.0	20
part1_UG_gain_f_red	1	01-04-2020	1	4.0	1	784.0	3.0	21
part1_UG_gain_f_red	1	01-04-2020	1	3.0	1	808.0	2.0	22
part1_UG_gain_f_red	1	01-04-2020	1	5.0	1	513.0	3.0	23
part1_UG_gain_f_red	1	01-04-2020	0	1.0	0	757.0	5.0	24
part1_UG_gain_f_red	1	01-04-2020	1	2.0	1	998.0	1.0	25
part1_UG_gain_f_red	1	01-04-2020	0	1.0	0	1122.0	4.0	26
part1_UG_gain_f_red	1	01-04-2020	1	2.0	1	681.0	2.0	27
part1_UG_gain_f_red	1	01-04-2020	1	3.0	1	4003.0	2.0	28
part1_UG_gain_f_red	1	01-04-2020	1	5.0	1	327.0	5.0	29
part1_UG_gain_f_red	1	01-04-2020	1	4.0	1	464.0	2.0	30
part1_UG_gain_f_red	1	01-04-2020	1	2.0	1	1551.0	2.0	31
part1_UG_gain_f_red	1	01-04-2020	0	1.0	0	616.0	4.0	32
part1_UG_gain_f_red	1	01-04-2020	1	3.0	1	444.0	3.0	33
part1_UG_gain_f_red	1	01-04-2020	1	4.0	1	522.0	2.0	34
part1_UG_gain_f_red	1	01-04-2020	1	5.0	1	291.0	4.0	35
part1_UG_gain_f_red	1	01-04-2020	1	5.0	1	868.0	5.0	36
part1_UG_gain_f_red	1	01-04-2020	1	3.0	1	2471.0	1.0	37
part1_UG_gain_f_red	1	01-04-2020	0	1.0	0	837.0	2.0	38
part1_UG_gain_f_red	1	01-04-2020	1	2.0	1	967.0	2.0	39
part1_UG_gain_f_red	1	01-04-2020	1	4.0	1	759.0	1.0	40
part1_UG_gain_f_red	3	01-04-2020	1	5.0	1	2378.0	5.0	1
part1_UG_gain_f_red	3	01-04-2020	1	3.0	1	5241.0	3.0	2
part1_UG_gain_f_red	3	01-04-2020	1	4.0	1	1294.0	3.0	3
part1_UG_gain_f_red	3	01-04-2020	0	1.0	0	2356.0	2.0	4
part1_UG_gain_f_red	3	01-04-2020	0	2.0	0	992.0	2.0	5
part1_UG_gain_f_red	3	01-04-2020	0	1.0	0	781.0	2.0	6
part1_UG_gain_f_red	3	01-04-2020	1	3.0	1	1158.0	4.0	7
part1_UG_gain_f_red	3	01-04-2020	0	4.0	0	5229.0	2.0	8
part1_UG_gain_f_red	3	01-04-2020	0	2.0	0	854.0	2.0	9
part1_UG_gain_f_red	3	01-04-2020	1	5.0	1	814.0	5.0	10
part1_UG_gain_f_red	3	01-04-2020	0	1.0	0	896.0	1.0	11
