Subject	Context	SessionDate	SessionTime	proposer	receivor	type	choose	Wait2.RT	targettext
85	loss	08-21-2022	10:50:41						
85	loss	08-21-2022	10:50:41	-3.0	-7.0	7月3日	接受	1712.0	3.0
85	loss	08-21-2022	10:50:41	-5.0	-5.0	fair	接受	1458.0	4.0
85	loss	08-21-2022	10:50:41	-2.0	-8.0	unfair	接受	5700.0	2.0
85	loss	08-21-2022	10:50:41	-4.0	-6.0	fair	接受	4056.0	3.0
85	loss	08-21-2022	10:50:41	-1.0	-9.0	unfair	拒绝	4022.0	3.0
85	loss	08-21-2022	10:50:41	-4.0	-6.0	fair	接受	2585.0	3.0
85	loss	08-21-2022	10:50:41	-2.0	-8.0	unfair	接受	3395.0	2.0
85	loss	08-21-2022	10:50:41	-3.0	-7.0	7月3日	接受	995.0	3.0
85	loss	08-21-2022	10:50:41	-1.0	-9.0	unfair	拒绝	978.0	2.0
85	loss	08-21-2022	10:50:41	-5.0	-5.0	fair	接受	871.0	4.0
85	loss	08-21-2022	10:50:41						
85	loss	08-21-2022	10:50:41						
85	loss	08-21-2022	10:50:41	-4.0	-6.0	fair	接受	1695.0	3.0
85	loss	08-21-2022	10:50:41	-1.0	-9.0	unfair	拒绝	1098.0	2.0
85	loss	08-21-2022	10:50:41	-2.0	-8.0	unfair	接受	1444.0	2.0
85	loss	08-21-2022	10:50:41	-3.0	-7.0	7月3日	接受	1085.0	3.0
85	loss	08-21-2022	10:50:41	-5.0	-5.0	fair	接受	761.0	3.0
85	loss	08-21-2022	10:50:41	-2.0	-8.0	unfair	接受	3143.0	3.0
85	loss	08-21-2022	10:50:41	-5.0	-5.0	fair	接受	782.0	4.0
85	loss	08-21-2022	10:50:41	-3.0	-7.0	7月3日	接受	1098.0	2.0
85	loss	08-21-2022	10:50:41	-1.0	-9.0	unfair	拒绝	1858.0	2.0
85	loss	08-21-2022	10:50:41	-4.0	-6.0	fair	接受	792.0	3.0
85	loss	08-21-2022	10:50:41						
85	loss	08-21-2022	10:50:41						
85	loss	08-21-2022	10:50:41	-3.0	-7.0	7月3日	接受	1980.0	2.0
85	loss	08-21-2022	10:50:41	-5.0	-5.0	fair	接受	846.0	3.0
85	loss	08-21-2022	10:50:41	-2.0	-8.0	unfair	接受	1020.0	2.0
85	loss	08-21-2022	10:50:41	-4.0	-6.0	fair	接受	639.0	3.0
85	loss	08-21-2022	10:50:41	-1.0	-9.0	unfair	拒绝	823.0	2.0
85	loss	08-21-2022	10:50:41	-3.0	-7.0	7月3日	接受	881.0	2.0
85	loss	08-21-2022	10:50:41	-5.0	-5.0	fair	接受	792.0	3.0
85	loss	08-21-2022	10:50:41	-1.0	-9.0	unfair	拒绝	1259.0	2.0
85	loss	08-21-2022	10:50:41	-2.0	-8.0	unfair	接受	581.0	2.0
85	loss	08-21-2022	10:50:41	-4.0	-6.0	fair	接受	642.0	3.0
85	loss	08-21-2022	10:50:41						
85	loss	08-21-2022	10:50:41						
85	loss	08-21-2022	10:50:41	-3.0	-7.0	7月3日	接受	2590.0	2.0
85	loss	08-21-2022	10:50:41	-5.0	-5.0	fair	接受	553.0	4.0
85	loss	08-21-2022	10:50:41	-2.0	-8.0	unfair	接受	1809.0	2.0
85	loss	08-21-2022	10:50:41	-4.0	-6.0	fair	接受	745.0	3.0
85	loss	08-21-2022	10:50:41	-1.0	-9.0	unfair	拒绝	1293.0	2.0
85	loss	08-21-2022	10:50:41	-3.0	-7.0	7月3日	接受	1888.0	2.0
85	loss	08-21-2022	10:50:41	-5.0	-5.0	fair	接受	710.0	4.0
85	loss	08-21-2022	10:50:41	-1.0	-9.0	unfair	拒绝	827.0	3.0
85	loss	08-21-2022	10:50:41	-4.0	-6.0	fair	接受	1192.0	3.0
85	loss	08-21-2022	10:50:41	-2.0	-8.0	unfair	接受	2608.0	2.0
85	gain	08-21-2022	10:55:28						
85	gain	08-21-2022	10:55:28	5.0	5.0	fair	接受	1667.0	4.0
85	gain	08-21-2022	10:55:28	6.0	4.0	fair	接受	3081.0	3.0
85	gain	08-21-2022	10:55:28	8.0	2.0	unfair	接受	2162.0	3.0
85	gain	08-21-2022	10:55:28	9.0	1.0	unfair	拒绝	2473.0	2.0
85	gain	08-21-2022	10:55:28	7.0	3.0	unfair	接受	1188.0	3.0
85	gain	08-21-2022	10:55:28	7.0	3.0	unfair	接受	596.0	2.0
85	gain	08-21-2022	10:55:28	8.0	2.0	unfair	接受	35.0	2.0
85	gain	08-21-2022	10:55:28	9.0	1.0	unfair	拒绝	1255.0	2.0
85	gain	08-21-2022	10:55:28	6.0	4.0	fair	接受	1060.0	4.0
85	gain	08-21-2022	10:55:28	5.0	5.0	fair	接受	811.0	3.0
85	gain	08-21-2022	10:55:28						
85	gain	08-21-2022	10:55:28						
85	gain	08-21-2022	10:55:28	7.0	3.0	unfair	接受	1811.0	2.0
85	gain	08-21-2022	10:55:28	8.0	2.0	unfair	接受	640.0	2.0
85	gain	08-21-2022	10:55:28	5.0	5.0	fair	接受	762.0	4.0
85	gain	08-21-2022	10:55:28	6.0	4.0	fair	接受	728.0	3.0
85	gain	08-21-2022	10:55:28	9.0	1.0	unfair	拒绝	1054.0	2.0
85	gain	08-21-2022	10:55:28	6.0	4.0	fair	接受	814.0	3.0
85	gain	08-21-2022	10:55:28	9.0	1.0	unfair	拒绝	1075.0	2.0
85	gain	08-21-2022	10:55:28	8.0	2.0	unfair	接受	1164.0	2.0
85	gain	08-21-2022	10:55:28	5.0	5.0	fair	接受	763.0	4.0
85	gain	08-21-2022	10:55:28	7.0	3.0	unfair	接受	1170.0	2.0
85	gain	08-21-2022	10:55:28						
85	gain	08-21-2022	10:55:28						
85	gain	08-21-2022	10:55:28	8.0	2.0	unfair	接受	920.0	2.0
85	gain	08-21-2022	10:55:28	9.0	1.0	unfair	拒绝	851.0	1.0
85	gain	08-21-2022	10:55:28	6.0	4.0	fair	接受	643.0	3.0
85	gain	08-21-2022	10:55:28	5.0	5.0	fair	接受	647.0	4.0
85	gain	08-21-2022	10:55:28	7.0	3.0	unfair	接受	1607.0	2.0
85	gain	08-21-2022	10:55:28	8.0	2.0	unfair	接受	1197.0	2.0
85	gain	08-21-2022	10:55:28	6.0	4.0	fair	接受	1061.0	3.0
85	gain	08-21-2022	10:55:28	9.0	1.0	unfair	拒绝	1134.0	1.0
85	gain	08-21-2022	10:55:28	7.0	3.0	unfair	接受	721.0	2.0
85	gain	08-21-2022	10:55:28	5.0	5.0	fair	接受	1672.0	4.0
85	gain	08-21-2022	10:55:28						
85	gain	08-21-2022	10:55:28						
85	gain	08-21-2022	10:55:28	5.0	5.0	fair	接受	1247.0	4.0
85	gain	08-21-2022	10:55:28	6.0	4.0	fair	接受	738.0	3.0
85	gain	08-21-2022	10:55:28	9.0	1.0	unfair	拒绝	905.0	1.0
85	gain	08-21-2022	10:55:28	7.0	3.0	unfair	接受	831.0	2.0
85	gain	08-21-2022	10:55:28	8.0	2.0	unfair	接受	986.0	2.0
85	gain	08-21-2022	10:55:28	9.0	1.0	unfair	拒绝	956.0	2.0
85	gain	08-21-2022	10:55:28	6.0	4.0	fair	接受	948.0	3.0
85	gain	08-21-2022	10:55:28	8.0	2.0	unfair	接受	1158.0	2.0
85	gain	08-21-2022	10:55:28	7.0	3.0	unfair	接受	687.0	2.0
85	gain	08-21-2022	10:55:28	5.0	5.0	fair	接受	1159.0	4.0
