Subject	Context	SessionDate	SessionTime	proposer	receivor	type	choose	Wait2.RT	targettext
180.0	gain	08-22-2021	14:24:33						
180.0	gain	08-22-2021	14:24:33	7.0	3.0	7ÔÂ3ÈÕ	¾Ü¾ø	14031.0	2.0
180.0	gain	08-22-2021	14:24:33	8.0	2.0	unfair	¾Ü¾ø	5990.0	2.0
180.0	gain	08-22-2021	14:24:33	9.0	1.0	unfair	¾Ü¾ø	3141.0	1.0
180.0	gain	08-22-2021	14:24:33	6.0	4.0	fair	¾Ü¾ø	17126.0	2.0
180.0	gain	08-22-2021	14:24:33	5.0	5.0	fair	½ÓÊÜ	2755.0	4.0
180.0	gain	08-22-2021	14:24:33	6.0	4.0	fair	¾Ü¾ø	5368.0	2.0
180.0	gain	08-22-2021	14:24:33	5.0	5.0	fair	½ÓÊÜ	2037.0	4.0
180.0	gain	08-22-2021	14:24:33	9.0	1.0	unfair	¾Ü¾ø	4302.0	1.0
180.0	gain	08-22-2021	14:24:33	8.0	2.0	unfair	¾Ü¾ø	2479.0	2.0
180.0	gain	08-22-2021	14:24:33	7.0	3.0	7ÔÂ3ÈÕ	¾Ü¾ø	2336.0	2.0
180.0	gain	08-22-2021	14:24:33						
180.0	gain	08-22-2021	14:24:33						
180.0	gain	08-22-2021	14:24:33	7.0	3.0	7ÔÂ3ÈÕ	¾Ü¾ø	24368.0	2.0
180.0	gain	08-22-2021	14:24:33	5.0	5.0	fair	½ÓÊÜ	13147.0	4.0
180.0	gain	08-22-2021	14:24:33	9.0	1.0	unfair	¾Ü¾ø	8660.0	2.0
180.0	gain	08-22-2021	14:24:33	8.0	2.0	unfair	¾Ü¾ø	3045.0	2.0
180.0	gain	08-22-2021	14:24:33	6.0	4.0	fair	¾Ü¾ø	8771.0	2.0
180.0	gain	08-22-2021	14:24:33	9.0	1.0	unfair	¾Ü¾ø	5219.0	1.0
180.0	gain	08-22-2021	14:24:33	6.0	4.0	fair	¾Ü¾ø	4539.0	2.0
180.0	gain	08-22-2021	14:24:33	8.0	2.0	unfair	¾Ü¾ø	5760.0	2.0
180.0	gain	08-22-2021	14:24:33	5.0	5.0	fair	½ÓÊÜ	2527.0	4.0
180.0	gain	08-22-2021	14:24:33	7.0	3.0	7ÔÂ3ÈÕ	¾Ü¾ø	3249.0	2.0
180.0	gain	08-22-2021	14:24:33						
180.0	gain	08-22-2021	14:24:33						
180.0	gain	08-22-2021	14:24:33	8.0	2.0	unfair	¾Ü¾ø	2146.0	2.0
180.0	gain	08-22-2021	14:24:33	9.0	1.0	unfair	¾Ü¾ø	1991.0	1.0
180.0	gain	08-22-2021	14:24:33	6.0	4.0	fair	¾Ü¾ø	7480.0	2.0
180.0	gain	08-22-2021	14:24:33	7.0	3.0	7ÔÂ3ÈÕ	¾Ü¾ø	7941.0	2.0
180.0	gain	08-22-2021	14:24:33	5.0	5.0	fair	½ÓÊÜ	6636.0	5.0
180.0	gain	08-22-2021	14:24:33	9.0	1.0	unfair	¾Ü¾ø	2498.0	1.0
180.0	gain	08-22-2021	14:24:33	5.0	5.0	fair	½ÓÊÜ	7659.0	4.0
180.0	gain	08-22-2021	14:24:33	7.0	3.0	7ÔÂ3ÈÕ	¾Ü¾ø	9613.0	2.0
180.0	gain	08-22-2021	14:24:33	6.0	4.0	fair	¾Ü¾ø	8323.0	2.0
180.0	gain	08-22-2021	14:24:33	8.0	2.0	unfair	¾Ü¾ø	3947.0	2.0
180.0	gain	08-22-2021	14:24:33						
180.0	gain	08-22-2021	14:24:33						
