Subject,SessionDate,SessionTime,Block,choose,outcome,partnerlabel,slideInvestment.RT,targettext
3,09-12-2020,10:44:25,1,,,,,
3,09-12-2020,10:44:25,2,分享,CD,人,2254,2
3,09-12-2020,10:44:25,3,分享,CC,人,811,2
3,09-12-2020,10:44:25,4,独占,DC,人,783,4
3,09-12-2020,10:44:25,5,独占,DC,人,1644,1
3,09-12-2020,10:44:25,6,分享,CD,人,1447,1
3,09-12-2020,10:44:25,7,分享,CD,人,570,3
3,09-12-2020,10:44:25,8,独占,DC,人,646,2
3,09-12-2020,10:44:25,9,独占,DD,人,446,2
3,09-12-2020,10:44:25,10,分享,CC,人,856,5
3,09-12-2020,10:44:25,11,独占,DD,人,677,1
3,09-12-2020,10:44:25,12,,,,,
3,09-12-2020,10:44:25,13,,,,,
3,09-12-2020,10:44:25,14,独占,DC,电脑,81,5
3,09-12-2020,10:44:25,15,独占,DD,电脑,141,5
3,09-12-2020,10:44:25,16,独占,DC,电脑,295,5
3,09-12-2020,10:44:25,17,独占,DD,电脑,14978,5
3,09-12-2020,10:44:25,18,独占,DD,电脑,491,5
3,09-12-2020,10:44:25,19,独占,DC,电脑,769,5
3,09-12-2020,10:44:25,20,独占,DD,电脑,667,5
3,09-12-2020,10:44:25,21,分享,CC,电脑,4298,5
3,09-12-2020,10:44:25,22,独占,DC,电脑,1008,5
3,09-12-2020,10:44:25,23,独占,DD,电脑,605,5
3,09-12-2020,10:44:25,24,,,,,
3,09-12-2020,10:44:25,25,,,,,
3,09-12-2020,10:44:25,26,分享,CD,人,315,5
3,09-12-2020,10:44:25,27,分享,CD,人,685,5
3,09-12-2020,10:44:25,28,独占,DC,人,452,5
3,09-12-2020,10:44:25,29,分享,CD,人,379,5
3,09-12-2020,10:44:25,30,独占,DD,人,433,5
3,09-12-2020,10:44:25,31,独占,DC,人,660,5
3,09-12-2020,10:44:25,32,独占,DC,人,993,5
3,09-12-2020,10:44:25,33,独占,DC,人,643,1
3,09-12-2020,10:44:25,34,分享,CD,人,1800,5
3,09-12-2020,10:44:25,35,分享,CC,人,925,5
3,09-12-2020,10:44:25,36,,,,,
3,09-12-2020,10:44:25,37,,,,,
3,09-12-2020,10:44:25,38,独占,DC,电脑,306,5
3,09-12-2020,10:44:25,39,独占,DC,电脑,263,5
3,09-12-2020,10:44:25,40,分享,CD,电脑,1544,5
3,09-12-2020,10:44:25,41,独占,DC,电脑,600,5
3,09-12-2020,10:44:25,42,独占,DD,电脑,360,5
3,09-12-2020,10:44:25,43,独占,DC,电脑,897,5
3,09-12-2020,10:44:25,44,独占,DD,电脑,479,5
3,09-12-2020,10:44:25,45,独占,DD,电脑,1147,5
3,09-12-2020,10:44:25,46,独占,DD,电脑,402,5
3,09-12-2020,10:44:25,47,独占,DC,电脑,2398,5
8,10-18-2020,17:43:19,1,,,,,
8,10-18-2020,17:43:19,2,独占,DC,人,11391,4
8,10-18-2020,17:43:19,3,分享,CC,人,6332,3
8,10-18-2020,17:43:19,4,独占,DD,人,1439,2
8,10-18-2020,17:43:19,5,分享,CD,人,6209,3
8,10-18-2020,17:43:19,6,独占,DD,人,3548,3
8,10-18-2020,17:43:19,7,独占,DC,人,13032,3
8,10-18-2020,17:43:19,8,分享,CD,人,13988,3
8,10-18-2020,17:43:19,9,独占,DC,人,2915,4
8,10-18-2020,17:43:19,10,分享,CC,人,3821,3
8,10-18-2020,17:43:19,11,独占,DC,人,1098,3
8,10-18-2020,17:43:19,12,,,,,
8,10-18-2020,17:43:19,13,,,,,
8,10-18-2020,17:43:19,14,独占,DC,电脑,2896,3
8,10-18-2020,17:43:19,15,分享,CC,电脑,787,3
8,10-18-2020,17:43:19,16,独占,DC,电脑,1009,3
8,10-18-2020,17:43:19,17,独占,DD,电脑,606,3
8,10-18-2020,17:43:19,18,分享,CC,电脑,544,2
8,10-18-2020,17:43:19,19,独占,DD,电脑,1272,3
8,10-18-2020,17:43:19,20,分享,CD,电脑,2795,3
8,10-18-2020,17:43:19,21,分享,CC,电脑,5160,3
8,10-18-2020,17:43:19,22,独占,DD,电脑,553,3
8,10-18-2020,17:43:19,23,分享,CC,电脑,1479,3
8,10-18-2020,17:43:19,24,,,,,
8,10-18-2020,17:43:19,25,,,,,
8,10-18-2020,17:43:19,26,独占,DD,人,2835,3
8,10-18-2020,17:43:19,27,分享,CD,人,627,3
