Subject,SessionDate,SessionTime,SVO_angle,SVO_type,DAL,DIA,DIC,DJG,IA_Index
146,10-01-2019,14:12:59,5.28E-02,3,1,0.5,0,0.5,999
4,08-25-2018,17:40:55,0.4948453,2,0.7638889,0.375,0.2361111,0.4375,999
7,07-09-2018,13:37:50,0.6969697,2,0.5416667,4.17E-02,0.4583333,0.25,0.1428571
9,08-04-2018,15:38:11,-2.16E-02,3,1,0.5,0,0.5,999
11,08-17-2018,13:39:17,0.5776699,2,0.6666667,0.1666667,0.3333333,0.2291667,0.4210526
12,07-10-2018,12:51:44,0.128514,3,1,0.5,0,0.5,999
13,07-10-2018,15:56:59,0.631579,2,0.2916667,0.3194444,0.7083333,0.2708333,999
14,07-12-2018,17:09:01,-0.1372549,3,1,0.5,0,0.5,999
15,07-30-2018,16:14:25,1.779817,1,0,0.5,1,0.5,999
16,07-25-2018,15:47:07,1.25,2,0.5138889,0.5694444,0.4861111,0.7708333,999
17,07-22-2018,10:54:56,0.1991525,3,0.875,0.375,0.125,0.375,999
19,08-19-2018,17:12:17,0.1372549,3,0.8888889,0.4166667,0.1111111,0.3333333,999
21,08-01-2018,15:28:34,0.5320197,2,0.5694444,0.4861111,0.4305556,0.5208333,999
22,07-17-2018,17:02:02,0.585,2,0.5972222,9.72E-02,0.4027778,0.25,0.28
23,07-16-2018,15:45:26,0.6111112,2,0.4861111,1.39E-02,0.5138889,0.2291667,5.71E-02
24,08-12-2018,16:58:08,0.1372549,3,1,0.5,0,0.5,999
26,08-29-2018,14:06:15,-0.2916667,4,1,0.5,0,0.5,999
28,07-23-2018,15:35:26,0.6349207,2,0.6111111,0.1666667,0.3888889,0.4375,999
30,08-06-2018,12:21:12,0.4271356,2,0.7083333,0.3472222,0.2916667,0.1875,999
32,07-18-2018,16:58:31,0.7668394,2,0.5277778,2.78E-02,0.4722222,0.25,1.00E-01
33,07-31-2018,9:00:03,0.6787566,2,0.5,0,0.5,0.25,0
34,07-31-2018,9:40:07,0.7539266,2,0.5277778,5.56E-02,0.4722222,0.1666667,0.25
35,08-03-2018,17:59:20,0.6666667,2,0.6944444,0.2222222,0.3055556,0.25,0.4705883
36,07-31-2018,15:27:02,1.153374,2,0.4444444,5.56E-02,0.5555556,0.2291667,0.1951219
40,07-25-2018,15:27:14,0.1372549,3,1,0.5,0,0.5,999
41,07-25-2018,17:51:33,0.1674641,3,0.5555556,0.5,0.4444444,0.5,999
44,07-28-2018,13:29:37,0.2272727,3,1,0.5,0,0.5,999
48,08-15-2021,10:48:37,0.0805085,3,0.9166667,0.4166667,8.33E-02,0.4375,999
49,08-03-2018,17:35:42,0.5642201,2,0.5,2.78E-02,0.5,0.25,1.00E-01
51,08-10-2018,15:33:56,0.7668394,2,0.5,5.56E-02,0.5,0.25,0.1818182
