Subject,SessionDate,SVO_angle,SVO_type,DAL,DIA,DIC,DJG,IA_Index
3,09-12-2020,0.1474104,3,0.8888889,0.4166667,0.1111111,0.3333333,999
7,09-13-2020,0.5776699,2,0.625,0.125,0.375,0.2291667,0.3529412
8,10-18-2020,0.3456222,3,0.8472222,0.3472222,0.1527778,0.3333333,999
9,10-07-2020,0.9655172,2,0.8194444,0.3194444,0.1805556,0.2291667,999
10,02-23-2021,1.165517,2,0.3333333,0.2222222,0.6666667,0.375,999
14,09-26-2020,0.6969697,2,0.5138889,1.39E-02,0.4861111,0.2708333,4.88E-02
15,10-17-2020,0.6969697,2,0.5138889,1.39E-02,0.4861111,0.2708333,4.88E-02
18,09-12-2020,-9.56E-02,3,0.6805556,0.4027778,0.3194444,0.4166667,999
21,08-03-2021,-0.2155172,4,0.7083333,0.2361111,0.2916667,0.4166667,999
23,09-13-2020,0.5238096,2,0.9861111,0.4861111,1.39E-02,0.5,999
24,11-14-2020,-0.1372549,3,1,0.5,0,0.5,999
26,10-17-2020,-0.2916667,4,1,0.5,0,0.5,999
27,01-03-2021,0.6969697,2,0.5138889,1.39E-02,0.4861111,0.2708333,4.88E-02
32,09-19-2020,-0.1372549,3,1,0.5,0,0.5,999
34,10-01-2020,0.1372549,3,1,0.5,0,0.5,999
35,08-17-2021,-0.1372549,3,1,0.5,0,0.5,999
36,10-01-2020,0.80663,2,0.5416667,0.1527778,0.4583333,0.4375,0.2588235
40,10-02-2020,7.06E-02,3,0.75,0.5277778,0.25,0.5,999
45,10-01-2020,0.6969697,2,0.5138889,1.39E-02,0.4861111,0.2708333,4.88E-02
50,02-07-2021,0.5202019,2,0.5,0,0.5,0.25,0
54,08-17-2021,0.6969697,2,0.5,2.78E-02,0.5,0.2916667,8.70E-02
55,02-27-2022,0.1019608,3,1,0.5,0,0.5,999
56,10-25-2020,0.3939393,3,0.9166667,0.4166667,8.33E-02,0.4583333,999
58,01-23-2021,-0.2500001,4,0.875,0.4305556,0.125,0.5208333,999
59,08-17-2021,1.031645,2,0.6111111,0.4722222,0.3888889,0.7916667,999
63,05-10-2022,-0.1541502,3,1,0.5,0,0.5,999
66,11-07-2020,-0.1372549,3,1,0.5,0,0.5,999
67,10-05-2020,-0.1372549,3,1,0.5,0,0.5,999
68,01-31-2021,7.32E-02,3,1,0.5,0,0.5,999
69,01-31-2021,-0.1372549,3,1,0.5,0,0.5,999
71,10-08-2020,-0.1372549,3,1,0.5,0,0.5,999
72,08-25-2022,0.1372549,3,1,0.5,0,0.5,999
76,06-14-2021,-0.1700405,3,0.9583333,0.4583333,4.17E-02,0.5,999
78,11-21-2020,1,2,0.5277778,5.56E-02,0.4722222,0.1666667,0.25
80,10-18-2020,0.1910569,3,1,0.5,0,0.5,999
82,01-14-2021,0.7668394,2,0.5,2.78E-02,0.5,0.2291667,0.1081081
85,10-25-2020,0.7202072,2,0.5555556,0.1111111,0.4444444,0.2083333,0.3478261
87,09-20-2020,0.1372549,3,0.9444444,0.4444444,5.56E-02,0.5,999
88,10-06-2020,-0.1372549,3,1,0.5,0,0.5,999
90,11-07-2020,0.6969697,2,0.5,0,0.5,0.25,0
91,10-01-2021,0.2563026,3,0.7916667,0.375,0.2083333,0.3541667,999
95,09-21-2021,1.034091,2,0.5277778,2.78E-02,0.4722222,0.2916667,8.70E-02
98,01-24-2021,0.3513513,3,0.8888889,0.5277778,0.1111111,0.6666667,999
99,11-28-2020,0.4832536,2,0.5138889,1.39E-02,0.4861111,0.2708333,4.88E-02
101,11-29-2020,0.1372549,3,0.9722222,0.4722222,2.78E-02,0.4583333,999
103,11-14-2020,0.6969697,2,0.5138889,1.39E-02,0.4861111,0.2708333,4.88E-02
