Subject,Context,SessionDate,SessionTime,proposer,receivor,type,choose,Wait2.RT,targettext
3,gain,09-12-2020,10:54:29,,,,,,
3,gain,09-12-2020,10:54:29,9,1,unfair,拒绝,1569,1
3,gain,09-12-2020,10:54:29,6,4,fair,接受,618,5
3,gain,09-12-2020,10:54:29,7,3,7月3日,拒绝,1520,3
3,gain,09-12-2020,10:54:29,5,5,fair,接受,1582,3
3,gain,09-12-2020,10:54:29,8,2,unfair,拒绝,3659,5
3,gain,09-12-2020,10:54:29,6,4,fair,接受,382,5
3,gain,09-12-2020,10:54:29,8,2,unfair,接受,1081,3
3,gain,09-12-2020,10:54:29,9,1,unfair,拒绝,6754,5
3,gain,09-12-2020,10:54:29,7,3,7月3日,接受,977,5
3,gain,09-12-2020,10:54:29,5,5,fair,接受,926,5
3,gain,09-12-2020,10:54:29,,,,,,
3,gain,09-12-2020,10:54:29,,,,,,
3,gain,09-12-2020,10:54:29,6,4,fair,接受,694,5
3,gain,09-12-2020,10:54:29,7,3,7月3日,接受,1925,5
3,gain,09-12-2020,10:54:29,8,2,unfair,拒绝,1666,5
3,gain,09-12-2020,10:54:29,5,5,fair,拒绝,1592,5
3,gain,09-12-2020,10:54:29,9,1,unfair,拒绝,1004,3
3,gain,09-12-2020,10:54:29,7,3,7月3日,拒绝,1025,1
3,gain,09-12-2020,10:54:29,9,1,unfair,拒绝,1179,5
3,gain,09-12-2020,10:54:29,5,5,fair,接受,960,5
3,gain,09-12-2020,10:54:29,6,4,fair,接受,1118,5
3,gain,09-12-2020,10:54:29,8,2,unfair,拒绝,954,1
3,gain,09-12-2020,10:54:29,,,,,,
3,gain,09-12-2020,10:54:29,,,,,,
3,gain,09-12-2020,10:54:29,6,4,fair,接受,1272,5
3,gain,09-12-2020,10:54:29,5,5,fair,接受,664,5
3,gain,09-12-2020,10:54:29,8,2,unfair,接受,3315,5
3,gain,09-12-2020,10:54:29,7,3,7月3日,接受,668,4
3,gain,09-12-2020,10:54:29,9,1,unfair,接受,3657,2
3,gain,09-12-2020,10:54:29,8,2,unfair,接受,4358,2
3,gain,09-12-2020,10:54:29,5,5,fair,接受,780,5
3,gain,09-12-2020,10:54:29,6,4,fair,接受,789,5
3,gain,09-12-2020,10:54:29,7,3,7月3日,接受,584,4
3,gain,09-12-2020,10:54:29,9,1,unfair,拒绝,1522,1
3,gain,09-12-2020,10:54:29,,,,,,
3,gain,09-12-2020,10:54:29,,,,,,
3,gain,09-12-2020,10:54:29,5,5,fair,接受,738,5
3,gain,09-12-2020,10:54:29,7,3,7月3日,接受,646,5
3,gain,09-12-2020,10:54:29,9,1,unfair,拒绝,1858,1
3,gain,09-12-2020,10:54:29,6,4,fair,接受,1297,4
3,gain,09-12-2020,10:54:29,8,2,unfair,接受,3638,1
3,gain,09-12-2020,10:54:29,8,2,unfair,拒绝,2209,1
3,gain,09-12-2020,10:54:29,5,5,fair,接受,808,5
3,gain,09-12-2020,10:54:29,9,1,unfair,拒绝,1692,1
3,gain,09-12-2020,10:54:29,6,4,fair,接受,569,5
3,gain,09-12-2020,10:54:29,7,3,7月3日,接受,1932,4
8,gain,10-18-2020,18:00:40,,,,,,
8,gain,10-18-2020,18:00:40,7,3,7月3日,拒绝,2200,4
8,gain,10-18-2020,18:00:40,8,2,unfair,拒绝,2277,4
8,gain,10-18-2020,18:00:40,5,5,fair,接受,1920,5
8,gain,10-18-2020,18:00:40,6,4,fair,拒绝,1800,3
8,gain,10-18-2020,18:00:40,9,1,unfair,拒绝,2056,3
8,gain,10-18-2020,18:00:40,6,4,fair,拒绝,1484,3
