C:\Users\xinlai\OneDrive - mails.ucas.edu.cn\beh_2023\convert\step2_merge\SVO\New_SVO_wave1.emrg2
ExperimentName	Subject	Session	Clock.Information	DataFile.Basename	Display.RefreshRate	ExperimentVersion	Group	R1Color[Session]	R2Color[Session]	R3Color[Session]	R4Color[Session]	R5Color[Session]	R6Color[Session]	R7Color[Session]	R8Color[Session]	R9Color[Session]	RandomSeed	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StudioVersion	Block	DAL	DIA	DIC	DJG	IA_Index	ListQues	ListSess	ListSess.Cycle	ListSess.Sample	other1	other2	other3	other4	other5	other6	other7	other8	other9	otherScore	Procedure	R0Color	R1Color[Block]	R2Color[Block]	R3Color[Block]	R4Color[Block]	R5Color[Block]	R6Color[Block]	R7Color[Block]	R8Color[Block]	R9Color[Block]	RespDur	Running	SlideTarget.ACC	SlideTarget.CRESP	SlideTarget.DurationError	SlideTarget.OnsetDelay	SlideTarget.OnsetTime	SlideTarget.OnsetToOnsetTime	SlideTarget.RESP	SlideTarget.RT	SlideTarget.RTTime	SVO_angle	SVO_type	Trialnum	version	you1	you2	you3	you4	you5	you6	you7	you8	you9	yourScore
SVO Backup1	146	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-10-01T06:12:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742343</Frequency><Timestamp dt:dt="r8">11468251027</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-10-01T06:12:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	SVO Backup1-146-1	60.067	1.0.0.3	1	black	black	black	black	black	black	black	black	black	-1416112249	2.0.10.242	2.0.10.242	10-01-2019	2019/10/1 6:12:59	14:12:59	2.0.10.147	1						1	1	2	1	85	76	68	59	50	41	33	24	15		ProcTrial		cyan	black	black	black	black	black	black	black	black	-25498	ListSess	0		-999999	82	7460	0	1	28998	36458			1	1	85	85	85	85	85	85	85	85	85	
SVO Backup1	146	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-10-01T06:12:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742343</Frequency><Timestamp dt:dt="r8">11468251027</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-10-01T06:12:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	SVO Backup1-146-1	60.067	1.0.0.3	1	black	black	black	black	black	black	black	black	black	-1416112249	2.0.10.242	2.0.10.242	10-01-2019	2019/10/1 6:12:59	14:12:59	2.0.10.147	2						2	1	2	2	15	19	24	28	33	37	41	46	50		ProcTrial		black	black	black	cyan	black	black	black	black	black	-1746	ListSess	0		-999999	49	39658	0	4	5246	44904			2	1	85	87	89	91	93	94	96	98	100	
SVO Backup1	146	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-10-01T06:12:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742343</Frequency><Timestamp dt:dt="r8">11468251027</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-10-01T06:12:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	SVO Backup1-146-1	60.067	1.0.0.3	1	black	black	black	black	black	black	black	black	black	-1416112249	2.0.10.242	2.0.10.242	10-01-2019	2019/10/1 6:12:59	14:12:59	2.0.10.147	3						3	1	2	3	100	98	96	94	93	91	89	87	85		ProcTrial		black	black	black	black	black	black	black	black	cyan	-5077	ListSess	0		-999999	49	48232	0	9	8577	56809			3	1	50	54	59	63	68	72	76	81	85	
SVO Backup1	146	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-10-01T06:12:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742343</Frequency><Timestamp dt:dt="r8">11468251027</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-10-01T06:12:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	SVO Backup1-146-1	60.067	1.0.0.3	1	black	black	black	black	black	black	black	black	black	-1416112249	2.0.10.242	2.0.10.242	10-01-2019	2019/10/1 6:12:59	14:12:59	2.0.10.147	4						4	1	2	4	100	89	79	68	58	47	36	26	15		ProcTrial		black	black	black	black	black	black	black	black	cyan	-5991	ListSess	0		-999999	49	59320	0	9	9491	68811			4	1	50	54	59	63	68	72	76	81	85	
SVO Backup1	146	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-10-01T06:12:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742343</Frequency><Timestamp dt:dt="r8">11468251027</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-10-01T06:12:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	SVO Backup1-146-1	60.067	1.0.0.3	1	black	black	black	black	black	black	black	black	black	-1416112249	2.0.10.242	2.0.10.242	10-01-2019	2019/10/1 6:12:59	14:12:59	2.0.10.147	5						5	1	2	5	50	56	63	69	75	81	88	94	100		ProcTrial		cyan	black	black	black	black	black	black	black	black	429	ListSess	0		-999999	50	72123	0	1	3071	75194			5	1	100	94	88	81	75	69	63	56	50	
SVO Backup1	146	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-10-01T06:12:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742343</Frequency><Timestamp dt:dt="r8">11468251027</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-10-01T06:12:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	SVO Backup1-146-1	60.067	1.0.0.3	1	black	black	black	black	black	black	black	black	black	-1416112249	2.0.10.242	2.0.10.242	10-01-2019	2019/10/1 6:12:59	14:12:59	2.0.10.147	6						6	1	2	6	50	54	59	63	68	72	76	81	85		ProcTrial		cyan	black	black	black	black	black	black	black	black	1672	ListSess	0		-999999	49	78149	0	1	1828	79977			6	1	100	98	96	94	93	91	89	87	85	
SVO Backup1	146	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-10-01T06:12:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742343</Frequency><Timestamp dt:dt="r8">11468251027</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-10-01T06:12:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	SVO Backup1-146-1	60.067	1.0.0.3	1	black	black	black	black	black	black	black	black	black	-1416112249	2.0.10.242	2.0.10.242	10-01-2019	2019/10/1 6:12:59	14:12:59	2.0.10.147	7						7	1	2	7	50	56	63	69	75	81	88	94	100		ProcTrial		cyan	black	black	black	black	black	black	black	black	1690	ListSess	0		-999999	49	81762	0	1	1810	83572			7	2	100	96	93	89	85	81	78	74	70	
SVO Backup1	146	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-10-01T06:12:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742343</Frequency><Timestamp dt:dt="r8">11468251027</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-10-01T06:12:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	SVO Backup1-146-1	60.067	1.0.0.3	1	black	black	black	black	black	black	black	black	black	-1416112249	2.0.10.242	2.0.10.242	10-01-2019	2019/10/1 6:12:59	14:12:59	2.0.10.147	8						8	1	2	8	100	99	98	96	95	94	93	91	90		ProcTrial		black	black	black	black	black	black	black	black	cyan	-226	ListSess	0		-999999	49	85208	0	9	3726	88934			8	2	90	91	93	94	95	96	98	99	100	
SVO Backup1	146	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-10-01T06:12:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742343</Frequency><Timestamp dt:dt="r8">11468251027</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-10-01T06:12:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	SVO Backup1-146-1	60.067	1.0.0.3	1	black	black	black	black	black	black	black	black	black	-1416112249	2.0.10.242	2.0.10.242	10-01-2019	2019/10/1 6:12:59	14:12:59	2.0.10.147	9						9	1	2	9	70	74	78	81	85	89	93	96	100		ProcTrial		cyan	black	black	black	black	black	black	black	black	1756	ListSess	0		-999999	50	90686	0	1	1744	92430			9	2	100	94	88	81	75	69	63	56	50	
SVO Backup1	146	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-10-01T06:12:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742343</Frequency><Timestamp dt:dt="r8">11468251027</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-10-01T06:12:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	SVO Backup1-146-1	60.067	1.0.0.3	1	black	black	black	black	black	black	black	black	black	-1416112249	2.0.10.242	2.0.10.242	10-01-2019	2019/10/1 6:12:59	14:12:59	2.0.10.147	10						10	1	2	10	70	74	78	81	85	89	93	96	100		ProcTrial		cyan	black	black	black	black	black	black	black	black	972	ListSess	0		-999999	49	93882	0	1	2528	96410			10	2	100	99	98	96	95	94	93	91	90	
